iter	Passed	Remaining
620	1139	695
621	1140	693
622	1141	691
623	1143	689
624	1145	687
625	1146	685
626	1148	683
627	1151	681
628	1152	679
629	1153	677
630	1155	675
631	1157	673
632	1158	671
633	1160	669
634	1161	667
635	1163	665
636	1164	663
637	1166	662
638	1168	660
639	1169	657
640	1170	655
641	1172	653
642	1174	651
643	1176	650
644	1177	648
645	1178	645
646	1180	644
647	1182	642
648	1183	640
649	1185	638
650	1186	636
651	1188	634
652	1190	632
653	1192	630
654	1193	628
655	1194	626
656	1197	624
657	1198	623
658	1200	620
659	1201	618
660	1202	616
661	1204	615
662	1206	613
663	1208	611
664	1209	609
665	1210	607
666	1213	605
667	1215	604
668	1216	602
669	1218	600
670	1219	598
671	1221	596
672	1223	594
673	1224	592
674	1225	590
675	1228	588
676	1229	586
677	1231	584
678	1233	583
679	1234	581
680	1236	579
681	1238	577
682	1239	575
683	1240	573
684	1243	571
685	1245	569
686	1246	567
687	1248	565
688	1249	563
689	1250	561
690	1252	560
691	1254	558
692	1255	556
693	1256	554
694	1259	552
695	1261	550
696	1265	549
697	1269	549
698	1275	549
699	1292	554
700	1296	553
701	1299	551
702	1300	549
703	1302	547
704	1303	545
705	1305	543
706	1307	541
707	1308	539
708	1310	537
709	1313	536
710	1314	534
711	1316	532
712	1317	530
713	1320	528
714	1322	527
715	1323	525
716	1325	523
717	1326	520
718	1327	518
719	1329	517
720	1331	515
721	1333	513
722	1336	511
723	1337	510
724	1339	508
725	1341	506
726	1343	504
727	1345	502
728	1346	500
729	1348	498
730	1349	496
731	1351	494
732	1353	492
733	1354	490
734	1356	489
735	1357	487
736	1359	485
737	1360	482
738	1361	480
739	1363	478
740	1364	476
741	1366	474
742	1368	473
743	1370	471
744	1372	469
745	1373	467
746	1374	465
747	1376	463
748	1378	461
749	1379	459
750	1381	458
751	1383	456
752	1385	454
753	1387	452
754	1388	450
755	1389	448
756	1391	446
757	1392	444
758	1394	442
759	1395	440
760	1396	438
761	1399	437
762	1401	435
763	1402	433
764	1404	431
765	1405	429
766	1407	427
767	1408	425
768	1409	423
769	1411	421
770	1413	419
771	1415	417
772	1416	415
773	1418	414
774	1419	412
775	1420	410
776	1422	408
777	1423	406
778	1425	404
779	1426	402
780	1429	400
781	1431	399
782	1433	397
783	1434	395
784	1435	393
785	1436	391
786	1438	389
787	1439	387
788	1442	385
789	1445	384
790	1447	382
791	1449	380
792	1450	378
793	1451	376
794	1453	374
795	1454	372
796	1456	370
797	1457	368
798	1459	367
799	1461	365
800	1463	363
801	1464	361
802	1466	359
803	1467	357
804	1468	355
805	1470	353
806	1472	352
807	1474	350
808	1476	348
809	1477	346
810	1479	344
811	1480	342
812	1482	340
813	1483	338
814	1485	337
815	1486	335
816	1487	333
817	1489	331
818	1492	329
819	1493	327
820	1495	326
821	1496	324
822	1498	322
823	1499	320
824	1501	318
825	1502	316
826	1503	314
827	1505	312
828	1508	311
829	1509	309
830	1511	307
831	1513	305
832	1514	303
833	1516	301
834	1517	299
835	1518	297
836	1520	296
837	1522	294
838	1524	292
839	1525	290
840	1527	288
841	1528	286
842	1530	284
843	1531	283
844	1533	281
845	1534	279
846	1535	277
847	1537	275
848	1539	273
849	1540	271
850	1542	270
851	1543	268
852	1545	266
853	1546	264
854	1547	262
855	1549	260
856	1550	258
857	1552	256
858	1554	255
859	1555	253
860	1557	251
861	1558	249
862	1560	247
863	1561	245
864	1563	243
865	1566	242
866	1568	240
867	1570	238
868	1572	236
869	1573	235
870	1574	233
871	1576	231
872	1577	229
873	1579	227
874	1580	225
875	1582	223
876	1584	222
877	1585	220
878	1587	218
879	1588	216
880	1590	214
881	1591	212
882	1593	211
883	1594	209
884	1595	207
885	1598	205
886	1600	203
887	1601	202
888	1603	200
889	1605	198
